iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped
1,Lotsmart QA API_v1.24.0,lssortingDESCusersnameRowsperpage50,POST,https://qaapi.lojack.com/v1/users/search?include=extAttribs&pg=1&pgsize=50,OK,200,3510,106556,"Status code is 200, Content-Type is present, Response has JSON body, content type is present in response header, Number of users, user applicaion support, user eula support, Response time is less than 15000ms",,
1,Lotsmart QA API_v1.24.0,lssortingASCaccountnameRowsperpage10,POST,https://qaapi.lojack.com/v1/users/search?include=extAttribs&pg=1&pgsize=10 ,OK,200,2750,17925,"Status code is 200, Content-Type is present, Response has JSON body, content type is present in response header, Number of users, user applicaion support, user eula support, Response time is less than 200ms",,
1,Lotsmart QA API_v1.24.0,lssortingASCaccountnameRowsperpage50,POST,https://qaapi.lojack.com/v1/users/search?include=extAttribs&pg=1&pgsize=50 ,OK,200,3871,87328,"Status code is 200, Content-Type is present, Response has JSON body, content type is present in response header, Number of users, user applicaion support, Response time is less than 200ms",user eula support,
1,Lotsmart QA API_v1.24.0,lssortingDESCaccountnameRowsperpage10_multipleacc,POST,https://qaapi.lojack.com/v1/users/search?include=extAttribs&pg=1&pgsize=10 ,OK,200,3259,19925,"Status code is 200, Content-Type is present, Response has JSON body, content type is present in response header, Number of users, user applicaion support, Response time is less than 200ms",user eula support,
1,Lotsmart QA API_v1.24.0,lssortingDESCaccountsnameRowsperpage50_multipleaccs,POST,https://qaapi.lojack.com/v1/users/search?include=extAttribs&pg=1&pgsize=50 ,OK,200,3689,90904,"Status code is 200, Content-Type is present, Response has JSON body, content type is present in response header, Number of users, user applicaion support, Response time is less than 200ms",user eula support,
1,Lotsmart QA API_v1.24.0,SearchUsersrolesO,OPTIONS,https://qaapi.lojack.com/v1/accounts/5407/roles,OK,200,844,0,"Status code is 200, Content-Type is present, Check if target is undefined, Response time is less than 200ms, content type is present in response header",,
1,Lotsmart QA API_v1.24.0,VSearchUsersroles,GET,https://qaapi.lojack.com/v1/accounts/5407/roles,OK,200,4319,103036,"Status code is 200, Content-Type is present, Response has JSON body, content type is present in response header, Response time is less than 1200ms",,
1,Lotsmart QA API_v1.24.0,CreateUserwithadminroles,POST,https://qaapi.lojack.com/v1/users,Created,201,5567,2224,"Successful POST request, Content-Type is present, Response has JSON body, content type is present in response header, username and role support, user applicaion support, Response time is less than 200ms",,
1,Lotsmart QA API_v1.24.0,CreateUserwithadminassistant_role,POST,https://qaapi.lojack.com/v1/users,Created,201,5418,2229,"Successful POST request, Content-Type is present, Response has JSON body, content type is present in response header, username and role support, user applicaion support, Response time is less than 200ms",,
1,Lotsmart QA API_v1.24.0,CreateUserwithSales_role,POST,https://qaapi.lojack.com/v1/users,Created,201,5790,2217,"Successful POST request, Content-Type is present, Response has JSON body, content type is present in response header, username and role support, user applicaion support, Response time is less than 1500ms",,
